image,filter,approach,threads,time_ms
cat,grayscale,pf,1,10
cat,grayscale,pf,2,8
cat,grayscale,pf,4,6
cat,grayscale,pf,8,4
cat,grayscale,pf,16,4
cat,grayscale,pm,1,8
cat,grayscale,pm,2,8
cat,grayscale,pm,4,5
cat,grayscale,pm,8,5
cat,grayscale,pm,16,3
cat,grayscale,sf,0,8
cat,grayscale,sm,0,8
cat,negative,pf,1,7
cat,negative,pf,2,5
cat,negative,pf,4,5
cat,negative,pf,8,3
cat,negative,pf,16,3
cat,negative,pm,1,8
cat,negative,pm,2,5
cat,negative,pm,4,5
cat,negative,pm,8,2
cat,negative,pm,16,6
cat,negative,sf,0,8
cat,negative,sm,0,5
cat,sepia,pf,1,12
cat,sepia,pf,2,10
cat,sepia,pf,4,9
cat,sepia,pf,8,5
cat,sepia,pf,16,5
cat,sepia,pm,1,22
cat,sepia,pm,2,12
cat,sepia,pm,4,8
cat,sepia,pm,8,6
cat,sepia,pm,16,5
cat,sepia,sf,0,14
cat,sepia,sm,0,13
cats2,grayscale,pf,1,396
cats2,grayscale,pf,2,412
cats2,grayscale,pf,4,337
cats2,grayscale,pf,8,303
cats2,grayscale,pf,16,236
cats2,grayscale,pm,1,344
cats2,grayscale,pm,2,291
cats2,grayscale,pm,4,236
cats2,grayscale,pm,8,195
cats2,grayscale,pm,16,189
cats2,grayscale,sf,0,318
cats2,grayscale,sm,0,290
cats2,negative,pf,1,392
cats2,negative,pf,2,335
cats2,negative,pf,4,368
cats2,negative,pf,8,269
cats2,negative,pf,16,177
cats2,negative,pm,1,288
cats2,negative,pm,2,218
cats2,negative,pm,4,173
cats2,negative,pm,8,141
cats2,negative,pm,16,146
cats2,negative,sf,0,217
cats2,negative,sm,0,275
cats2,sepia,pf,1,506
cats2,sepia,pf,2,514
cats2,sepia,pf,4,443
cats2,sepia,pf,8,224
cats2,sepia,pf,16,263
cats2,sepia,pm,1,495
cats2,sepia,pm,2,391
cats2,sepia,pm,4,284
cats2,sepia,pm,8,226
cats2,sepia,pm,16,234
cats2,sepia,sf,0,461
cats2,sepia,sm,0,459
new-york,grayscale,pf,1,3217
new-york,grayscale,pf,2,2519
new-york,grayscale,pf,4,2322
new-york,grayscale,pf,8,2615
new-york,grayscale,pf,16,2293
new-york,grayscale,pm,1,2613
new-york,grayscale,pm,2,2215
new-york,grayscale,pm,4,2142
new-york,grayscale,pm,8,1819
new-york,grayscale,pm,16,1658
new-york,grayscale,sf,0,2557
new-york,grayscale,sm,0,2479
new-york,negative,pf,1,2702
new-york,negative,pf,2,2269
new-york,negative,pf,4,2498
new-york,negative,pf,8,2328
new-york,negative,pf,16,2072
new-york,negative,pm,1,2400
new-york,negative,pm,2,2133
new-york,negative,pm,4,1935
new-york,negative,pm,8,1521
new-york,negative,pm,16,1465
new-york,negative,sf,0,2068
new-york,negative,sm,0,2248
new-york,sepia,pf,1,3766
new-york,sepia,pf,2,3010
new-york,sepia,pf,4,2938
new-york,sepia,pf,8,2615
new-york,sepia,pf,16,2384
new-york,sepia,pm,1,3034
new-york,sepia,pm,2,2618
new-york,sepia,pm,4,2289
new-york,sepia,pm,8,1935
new-york,sepia,pm,16,1989
new-york,sepia,sf,0,2989
new-york,sepia,sm,0,3625
